"period","amp","per","phi","amp_p_value","per_p_value","phi_p_value"
5,-0.0253146886803416,4.99222065419888,-1.39596750198222,3.95e-17,0,3.83e-09
6,0.0316438971668373,6.00058732655491,1.36774587673014,6.4e-26,0,6.17e-13
7,-0.038453963035234,7.00049876661041,-0.262217235045779,1.8e-37,0,0.0939
8,-0.0351274823663661,8.00059152514951,-1.07507446527734,9.58e-32,0,3.86e-10
9,-0.059089152544664,9.00962549519716,-0.0555907955000498,2.38e-86,0,0.583
10,-0.0366009885765878,9.97758736326742,-1.20340287816854,4.38e-34,0,2.26e-13
11,0.0283494714248648,10.9782261076095,-2.35896392364406,5.01e-21,0,6.27e-29
12,0.0471789301800497,11.9956070103524,0.586770766949954,1.99e-55,0,4.2e-06
13,-0.0422685413901843,13.1165538548945,6.5366822093334,2.06e-45,0,0
14,-0.0246011980642305,14.0186443115297,0.928561763820429,1.25e-16,0,0.000178
