"period","amp","per","phi","amp_p_value","per_p_value","phi_p_value"
5,-0.0290820940839713,4.98853085970161,-2.16449379508063,1.15e-22,0,8.24e-26
6,0.0303005765792623,6.00178230594326,1.40443125928605,2.17e-24,0,1.15e-12
7,-0.0305526443397436,6.99901988997329,-0.278017691012085,9.76e-25,0,0.155
8,-0.066355870198488,7.88723927167696,-26.6581871680209,4.21e-111,0,0
9,-0.0492456954739208,9.00927597783823,0.0378594630708519,9.22e-62,0,0.754
10,-0.0344999983377301,9.98555447946304,-0.904930391972956,4.23e-31,0,1.86e-07
11,0.0382431338240838,10.971821345408,-2.72339269978068,8e-38,0,4.57e-68
12,0.0524318666388248,11.9911018484485,0.521764581656088,2.27e-69,0,4.83e-06
13,-0.035583752815431,13.1218350426266,6.42616975659171,3.46e-33,0,7.68999999999892e-312
14,-0.0309442380855911,14.017324982749,0.70862569495671,4.82e-26,0,0.000311
