"period","amp","per","phi","amp_p_value","per_p_value","phi_p_value"
5,0.0333689070726145,4.99793300851451,-1.04507548737888,5.87e-11,0,0.00221
6,0.0306845907589891,5.99902637442986,1.03468836894632,1.63e-09,0,0.00531
7,0.0668386512831585,7.0095810225117,2.0768219936435,5.62e-39,0,2.54e-35
8,0.0318895673961928,7.98861351054603,-2.91581853261644,3.92e-10,0,2.83e-16
9,-0.0517848431909782,8.97730965609868,-1.70401055651034,3.45e-24,0,1.05e-14
10,0.0588318895265546,10.1300591998938,16.2199746061921,3.38e-31,0,0
11,-0.0507601467312288,10.9737709681825,-1.7644847498263,2.08e-23,0,3.27e-15
12,-0.0527203826672621,11.983463684555,-0.512351372308869,3.65e-25,0,0.0171
13,-0.0861779862330043,12.7141477165677,-32.1266159638424,9.01e-65,0,0
14,-0.050114006926344,14.0124892557961,-0.0877282373000195,1.14e-22,0,0.699
