"period","amp","per","phi","amp_p_value","per_p_value","phi_p_value"
5,-0.044872142027333,4.99251249040979,-0.975264953529685,3.75e-12,0,0.00206
6,0.0475007988862318,5.99954755355747,1.02336814754264,2.53e-13,0,0.000569
7,0.0604961372035151,7.00314051138136,0.805006608136202,1.03e-20,0,0.000572
8,-0.0688259275623498,7.99188456497304,0.312980553222743,2.28e-26,0,0.128
9,-0.104310753260212,8.96270293123373,-1.62632837263189,3.95e-58,0,1.36e-33
10,-0.0249014577801427,9.98144040868468,-0.895287755688332,0.000131,0,0.115
11,-0.0243014284362037,10.9918697392438,-0.0329325327633468,0.00019,0,0.954
12,0.096489719073807,11.9740559085745,-2.40870019145439,1.58e-50,0,3.09e-60
13,0.0548907957388658,12.92177584729,-8.05515447545717,3.17e-17,0,4.28e-216
14,-0.0714568248404983,13.9634400295588,-1.56221879349222,2.59e-28,0,2.24e-15
